Date,Holiday Name,Information,Applicable To
20190420,Saturday before Easter Sunday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,nsw
20190421,Easter Sunday,Public Holiday as part of Easter.,nsw
20190422,Easter Monday,Public Holiday as part of Easter.,nsw
20190425,Anzac Day,Celebrated on the 25 April each year.,nsw
20190610,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,nsw
20190805,Bank Holiday,"Applies to banks and certain financial institutions, per the Retail Trading Act 2008",nsw
20191007,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",nsw
20191225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,nsw
20191226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,nsw
20190101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,nt
20190128,Australia Day,Always celebrated on 26 January,nt
20190419,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,nt
20190420,Saturday before Easter Sunday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,nt
20190422,Easter Monday,Public Holiday as part of Easter.,nt
20190425,Anzac Day,Celebrated on the 25 April each year.,nt
20190506,May Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",nt
20190610,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,nt
20190805,Picnic Day,"Observed on the first Monday of August each year and is clebrated with a horse race, railway picnic and other social outings",nt
20191224,Christmas Eve,Part-day public holiday from 7pm-12 midnight,nt
20191225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,nt
20191226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,nt
20191231,New Year's Eve,Part-day public holiday from 7pm-12 midnight,nt
20190101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,qld
20190128,Australia Day,Always celebrated on 26 January,qld
20190419,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,qld
20190420,Saturday before Easter Sunday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,qld
20190421,Easter Sunday,Public Holiday as part of Easter.,qld
20190422,Easter Monday,Public Holiday as part of Easter.,qld
20190425,Anzac Day,Celebrated on the 25 April each year.,qld
20190506,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",qld
20191007,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,qld
20191225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,qld
20191226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,qld
20190101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,sa
20190128,Australia Day,Always celebrated on 26 January,sa
20190311,March public holiday,The Holidays Act 1910 provides for the third Monday in May to be a public holiday. ch through the issuing of a special Proclamation by the Governor.,sa
20190419,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,sa
20190420,Saturday before Easter Sunday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,sa
