,Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
164,IDCJAC0011,94029,1882,6,14,3.9,1.0,Y
165,IDCJAC0011,94029,1882,6,15,2.8,1.0,Y
166,IDCJAC0011,94029,1882,6,16,0.6,1.0,Y
167,IDCJAC0011,94029,1882,6,17,0.8,1.0,Y
168,IDCJAC0011,94029,1882,6,18,3.1,1.0,Y
169,IDCJAC0011,94029,1882,6,19,3.9,1.0,Y
170,IDCJAC0011,94029,1882,6,20,5.9,1.0,Y
171,IDCJAC0011,94029,1882,6,21,1.3,1.0,Y
172,IDCJAC0011,94029,1882,6,22,1.7,1.0,Y
173,IDCJAC0011,94029,1882,6,23,4.9,1.0,Y
174,IDCJAC0011,94029,1882,6,24,5.8,1.0,Y
175,IDCJAC0011,94029,1882,6,25,2.8,1.0,Y
176,IDCJAC0011,94029,1882,6,26,5.6,1.0,Y
177,IDCJAC0011,94029,1882,6,27,2.8,1.0,Y
178,IDCJAC0011,94029,1882,6,28,3.9,1.0,Y
179,IDCJAC0011,94029,1882,6,29,8.9,1.0,Y
180,IDCJAC0011,94029,1882,6,30,1.1,1.0,Y
181,IDCJAC0011,94029,1882,7,1,2.1,1.0,Y
182,IDCJAC0011,94029,1882,7,2,9.9,1.0,Y
183,IDCJAC0011,94029,1882,7,3,5.9,1.0,Y
184,IDCJAC0011,94029,1882,7,4,5.0,1.0,Y
185,IDCJAC0011,94029,1882,7,5,5.4,1.0,Y
186,IDCJAC0011,94029,1882,7,6,4.4,1.0,Y
187,IDCJAC0011,94029,1882,7,7,7.4,1.0,Y
188,IDCJAC0011,94029,1882,7,8,5.6,1.0,Y
189,IDCJAC0011,94029,1882,7,9,1.8,1.0,Y
190,IDCJAC0011,94029,1882,7,10,1.0,1.0,Y
191,IDCJAC0011,94029,1882,7,11,1.0,1.0,Y
192,IDCJAC0011,94029,1882,7,12,5.6,1.0,Y
193,IDCJAC0011,94029,1882,7,13,5.0,1.0,Y
194,IDCJAC0011,94029,1882,7,14,1.8,1.0,Y
195,IDCJAC0011,94029,1882,7,15,3.9,1.0,Y
196,IDCJAC0011,94029,1882,7,16,4.4,1.0,Y
197,IDCJAC0011,94029,1882,7,17,3.9,1.0,Y
198,IDCJAC0011,94029,1882,7,18,3.3,1.0,Y
199,IDCJAC0011,94029,1882,7,19,4.4,1.0,Y
200,IDCJAC0011,94029,1882,7,20,3.3,1.0,Y
201,IDCJAC0011,94029,1882,7,21,3.4,1.0,Y
202,IDCJAC0011,94029,1882,7,22,2.2,1.0,Y
203,IDCJAC0011,94029,1882,7,23,3.3,1.0,Y
204,IDCJAC0011,94029,1882,7,24,9.2,1.0,Y
205,IDCJAC0011,94029,1882,7,25,5.8,1.0,Y
206,IDCJAC0011,94029,1882,7,26,1.7,1.0,Y
207,IDCJAC0011,94029,1882,7,27,1.7,1.0,Y
208,IDCJAC0011,94029,1882,7,28,3.7,1.0,Y
209,IDCJAC0011,94029,1882,7,29,0.3,1.0,Y
210,IDCJAC0011,94029,1882,7,30,-0.6,1.0,Y
211,IDCJAC0011,94029,1882,7,31,2.2,1.0,Y
212,IDCJAC0011,94029,1882,8,1,1.6,1.0,Y
213,IDCJAC0011,94029,1882,8,2,1.9,1.0,Y
214,IDCJAC0011,94029,1882,8,3,2.4,1.0,Y
215,IDCJAC0011,94029,1882,8,4,3.9,1.0,Y
216,IDCJAC0011,94029,1882,8,5,4.6,1.0,Y
217,IDCJAC0011,94029,1882,8,6,6.1,1.0,Y
218,IDCJAC0011,94029,1882,8,7,4.4,1.0,Y
219,IDCJAC0011,94029,1882,8,8,2.2,1.0,Y
220,IDCJAC0011,94029,1882,8,9,2.4,1.0,Y
221,IDCJAC0011,94029,1882,8,10,2.7,1.0,Y
222,IDCJAC0011,94029,1882,8,11,0.9,1.0,Y
223,IDCJAC0011,94029,1882,8,12,1.3,1.0,Y
224,IDCJAC0011,94029,1882,8,13,2.1,1.0,Y
225,IDCJAC0011,94029,1882,8,14,5.8,1.0,Y
226,IDCJAC0011,94029,1882,8,15,6.1,1.0,Y
227,IDCJAC0011,94029,1882,8,16,5.8,1.0,Y
228,IDCJAC0011,94029,1882,8,17,6.4,1.0,Y
229,IDCJAC0011,94029,1882,8,18,5.2,1.0,Y
230,IDCJAC0011,94029,1882,8,19,5.8,1.0,Y
231,IDCJAC0011,94029,1882,8,20,5.8,1.0,Y
232,IDCJAC0011,94029,1882,8,21,9.1,1.0,Y
233,IDCJAC0011,94029,1882,8,22,6.1,1.0,Y
234,IDCJAC0011,94029,1882,8,23,4.7,1.0,Y
235,IDCJAC0011,94029,1882,8,24,5.4,1.0,Y
236,IDCJAC0011,94029,1882,8,25,7.0,1.0,Y
237,IDCJAC0011,94029,1882,8,26,9.7,1.0,Y
238,IDCJAC0011,94029,1882,8,27,6.0,1.0,Y
239,IDCJAC0011,94029,1882,8,28,6.2,1.0,Y
240,IDCJAC0011,94029,1882,8,29,7.3,1.0,Y
241,IDCJAC0011,94029,1882,8,30,5.4,1.0,Y
242,IDCJAC0011,94029,1882,8,31,4.8,1.0,Y
243,IDCJAC0011,94029,1882,9,1,6.2,1.0,Y
244,IDCJAC0011,94029,1882,9,2,5.9,1.0,Y
245,IDCJAC0011,94029,1882,9,3,9.7,1.0,Y
246,IDCJAC0011,94029,1882,9,4,8.8,1.0,Y
247,IDCJAC0011,94029,1882,9,5,9.1,1.0,Y
248,IDCJAC0011,94029,1882,9,6,7.7,1.0,Y
249,IDCJAC0011,94029,1882,9,7,4.0,1.0,Y
250,IDCJAC0011,94029,1882,9,8,5.4,1.0,Y
251,IDCJAC0011,94029,1882,9,9,3.9,1.0,Y
252,IDCJAC0011,94029,1882,9,10,6.0,1.0,Y
253,IDCJAC0011,94029,1882,9,11,5.9,1.0,Y
254,IDCJAC0011,94029,1882,9,12,8.6,1.0,Y
255,IDCJAC0011,94029,1882,9,13,6.0,1.0,Y
256,IDCJAC0011,94029,1882,9,14,3.4,1.0,Y
257,IDCJAC0011,94029,1882,9,15,2.9,1.0,Y
258,IDCJAC0011,94029,1882,9,16,6.0,1.0,Y
259,IDCJAC0011,94029,1882,9,17,8.1,1.0,Y
260,IDCJAC0011,94029,1882,9,18,7.5,1.0,Y
261,IDCJAC0011,94029,1882,9,19,7.8,1.0,Y
262,IDCJAC0011,94029,1882,9,20,7.2,1.0,Y
263,IDCJAC0011,94029,1882,9,21,12.1,1.0,Y
264,IDCJAC0011,94029,1882,9,22,10.1,1.0,Y
265,IDCJAC0011,94029,1882,9,23,7.2,1.0,Y
266,IDCJAC0011,94029,1882,9,24,10.0,1.0,Y
267,IDCJAC0011,94029,1882,9,25,5.4,1.0,Y
268,IDCJAC0011,94029,1882,9,26,5.2,1.0,Y
269,IDCJAC0011,94029,1882,9,27,9.8,1.0,Y
270,IDCJAC0011,94029,1882,9,28,7.6,1.0,Y
271,IDCJAC0011,94029,1882,9,29,3.1,1.0,Y
272,IDCJAC0011,94029,1882,9,30,6.2,1.0,Y
273,IDCJAC0011,94029,1882,10,1,6.8,1.0,Y
274,IDCJAC0011,94029,1882,10,2,5.4,1.0,Y
275,IDCJAC0011,94029,1882,10,3,5.7,1.0,Y
276,IDCJAC0011,94029,1882,10,4,8.1,1.0,Y
277,IDCJAC0011,94029,1882,10,5,11.9,1.0,Y
278,IDCJAC0011,94029,1882,10,6,7.2,1.0,Y
279,IDCJAC0011,94029,1882,10,7,8.5,1.0,Y
280,IDCJAC0011,94029,1882,10,8,10.6,1.0,Y
